VIN,planned_date,planned_sequence_in_day,planned_global_sequence,model,color,priority,actual_body_sequence,actual_paint_sequence
VIN0028401,2024-07-25,105,28401,A-Sedan,White,Normal,28400,28400
VIN0028402,2024-07-25,106,28402,A-Sedan,Black,Normal,28401,28401
VIN0028403,2024-07-25,107,28403,B-SUV,Blue,Expedite,28402,28402
VIN0028404,2024-07-25,108,28404,A-Sedan,Black,Normal,28403,28403
VIN0028405,2024-07-25,109,28405,B-SUV,White,Normal,28404,28404
VIN0028406,2024-07-25,110,28406,A-Sedan,Grey,Normal,28406,28406
VIN0028407,2024-07-25,111,28407,A-Sedan,Grey,Normal,28407,28407
VIN0028408,2024-07-25,112,28408,B-SUV,Black,Normal,28408,28408
VIN0028409,2024-07-25,113,28409,B-SUV,Red,Normal,28409,28409
VIN0028410,2024-07-25,114,28410,B-SUV,Red,Normal,28410,28410
VIN0028411,2024-07-25,115,28411,B-SUV,Black,Normal,28411,28411
VIN0028412,2024-07-25,116,28412,C-EV,White,Expedite,28413,28413
VIN0028413,2024-07-25,117,28413,A-Sedan,White,Normal,28412,28412
VIN0028414,2024-07-25,118,28414,A-Sedan,White,Normal,28414,28414
VIN0028415,2024-07-25,119,28415,A-Sedan,Silver,Normal,28415,28415
VIN0028416,2024-07-25,120,28416,B-SUV,Black,Expedite,28416,28416
VIN0028417,2024-07-25,121,28417,A-Sedan,Silver,Normal,28417,28417
VIN0028418,2024-07-25,122,28418,A-Sedan,Red,Normal,28418,28418
VIN0028419,2024-07-25,123,28419,B-SUV,Red,Normal,28419,28419
VIN0028420,2024-07-25,124,28420,B-SUV,Silver,Normal,28420,28420
VIN0028421,2024-07-25,125,28421,B-SUV,Orange,Normal,28421,28421
VIN0028422,2024-07-25,126,28422,A-Sedan,White,Normal,28422,28422
VIN0028423,2024-07-25,127,28423,B-SUV,White,Normal,28423,28423
VIN0028424,2024-07-25,128,28424,B-SUV,Orange,Normal,28424,28424
VIN0028425,2024-07-25,129,28425,C-EV,Green,Normal,28425,28425
VIN0028426,2024-07-25,130,28426,A-Sedan,Black,Normal,28426,28426
VIN0028427,2024-07-25,131,28427,A-Sedan,White,Expedite,28431,28431
VIN0028428,2024-07-25,132,28428,B-SUV,Grey,Normal,28427,28427
VIN0028429,2024-07-25,133,28429,C-EV,Grey,Normal,28428,28428
VIN0028430,2024-07-25,134,28430,C-EV,Blue,Normal,28429,28429
VIN0028431,2024-07-25,135,28431,B-SUV,Silver,Normal,28430,28430
VIN0028432,2024-07-25,136,28432,A-Sedan,Grey,Normal,28432,28432
VIN0028433,2024-07-25,137,28433,B-SUV,Red,Normal,28433,28433
VIN0028434,2024-07-25,138,28434,A-Sedan,Red,Normal,28434,28434
VIN0028435,2024-07-25,139,28435,B-SUV,White,Normal,28435,28435
VIN0028436,2024-07-25,140,28436,A-Sedan,Black,Normal,28436,28436
VIN0028437,2024-07-25,141,28437,B-SUV,Silver,Normal,28437,28437
VIN0028438,2024-07-25,142,28438,A-Sedan,Green,Normal,28438,28438
VIN0028439,2024-07-25,143,28439,B-SUV,White,Normal,28439,28439
VIN0028440,2024-07-25,144,28440,B-SUV,Red,Normal,28440,28440
VIN0028441,2024-07-25,145,28441,B-SUV,White,Normal,28441,28441
VIN0028442,2024-07-25,146,28442,C-EV,Silver,Normal,28442,28442
VIN0028443,2024-07-25,147,28443,A-Sedan,Silver,Normal,28443,28443
VIN0028444,2024-07-25,148,28444,A-Sedan,Black,Normal,28444,28444
VIN0028445,2024-07-25,149,28445,A-Sedan,Red,Normal,28445,28445
VIN0028446,2024-07-25,150,28446,A-Sedan,White,Normal,28446,28446
VIN0028447,2024-07-25,151,28447,A-Sedan,Grey,Normal,28447,28447
VIN0028448,2024-07-25,152,28448,B-SUV,Silver,Normal,28448,28448
VIN0028449,2024-07-25,153,28449,A-Sedan,Silver,Normal,28449,28449
VIN0028450,2024-07-25,154,28450,A-Sedan,Grey,Normal,28450,28450
VIN0028451,2024-07-25,155,28451,C-EV,Black,Normal,28451,28451
VIN0028452,2024-07-25,156,28452,A-Sedan,Black,Normal,28455,28455
VIN0028453,2024-07-25,157,28453,A-Sedan,Orange,Normal,28459,28459
VIN0028454,2024-07-25,158,28454,A-Sedan,White,Normal,28452,28452
VIN0028455,2024-07-25,159,28455,A-Sedan,White,Normal,28453,28453
VIN0028456,2024-07-25,160,28456,C-EV,Black,Normal,28454,28454
VIN0028457,2024-07-25,161,28457,A-Sedan,Blue,Normal,28456,28456
VIN0028458,2024-07-25,162,28458,B-SUV,White,Normal,28457,28457
VIN0028459,2024-07-25,163,28459,B-SUV,White,Normal,28458,28458
VIN0028460,2024-07-25,164,28460,A-Sedan,Blue,Normal,28460,28460
VIN0028461,2024-07-25,165,28461,A-Sedan,Silver,Normal,28461,28461
VIN0028462,2024-07-25,166,28462,A-Sedan,Orange,Normal,28462,28462
VIN0028463,2024-07-26,1,28463,A-Sedan,Blue,Normal,28463,28463
VIN0028464,2024-07-26,2,28464,C-EV,White,Normal,28464,28464
VIN0028465,2024-07-26,3,28465,B-SUV,Silver,Normal,28465,28465
VIN0028466,2024-07-26,4,28466,C-EV,Grey,Normal,28466,28466
VIN0028467,2024-07-26,5,28467,B-SUV,White,Normal,28467,28467
VIN0028468,2024-07-26,6,28468,C-EV,Black,Normal,28468,28468
VIN0028469,2024-07-26,7,28469,C-EV,Orange,Normal,28469,28469
VIN0028470,2024-07-26,8,28470,A-Sedan,Black,Normal,28470,28470
VIN0028471,2024-07-26,9,28471,B-SUV,White,Normal,28471,28471
VIN0028472,2024-07-26,10,28472,B-SUV,Green,Normal,28472,28472
VIN0028473,2024-07-26,11,28473,C-EV,Silver,Normal,28482,28482
VIN0028474,2024-07-26,12,28474,A-Sedan,Orange,Normal,28473,28473
VIN0028475,2024-07-26,13,28475,C-EV,Green,Normal,28474,28474
VIN0028476,2024-07-26,14,28476,B-SUV,Silver,Normal,28475,28475
VIN0028477,2024-07-26,15,28477,B-SUV,White,Normal,28476,28476
VIN0028478,2024-07-26,16,28478,B-SUV,Black,Normal,28477,28477
VIN0028479,2024-07-26,17,28479,A-Sedan,Red,Normal,28478,28478
VIN0028480,2024-07-26,18,28480,B-SUV,Black,Normal,28479,28479
VIN0028481,2024-07-26,19,28481,A-Sedan,Red,Normal,28480,28480
VIN0028482,2024-07-26,20,28482,B-SUV,Orange,Normal,28481,28481
VIN0028483,2024-07-26,21,28483,B-SUV,Black,Normal,28483,28483
VIN0028484,2024-07-26,22,28484,A-Sedan,Orange,Normal,28484,28484
VIN0028485,2024-07-26,23,28485,C-EV,White,Normal,28485,28485
VIN0028486,2024-07-26,24,28486,B-SUV,Orange,Normal,28486,28486
VIN0028487,2024-07-26,25,28487,A-Sedan,Black,Normal,28487,28487
VIN0028488,2024-07-26,26,28488,A-Sedan,White,Normal,28488,28488
VIN0028489,2024-07-26,27,28489,A-Sedan,Silver,Normal,28489,28489
VIN0028490,2024-07-26,28,28490,B-SUV,Black,Normal,28490,28490
VIN0028491,2024-07-26,29,28491,A-Sedan,Orange,Normal,28491,28491
VIN0028492,2024-07-26,30,28492,A-Sedan,Orange,Normal,28492,28492
VIN0028493,2024-07-26,31,28493,A-Sedan,Silver,Normal,28493,28493
VIN0028494,2024-07-26,32,28494,A-Sedan,Silver,Normal,28494,28494
VIN0028495,2024-07-26,33,28495,B-SUV,Silver,Normal,28495,28495
VIN0028496,2024-07-26,34,28496,C-EV,Black,Normal,28496,28496
VIN0028497,2024-07-26,35,28497,B-SUV,Blue,Normal,28497,28497
VIN0028498,2024-07-26,36,28498,B-SUV,Black,Normal,28498,28498
VIN0028499,2024-07-26,37,28499,A-Sedan,Black,Normal,28499,28499
VIN0028500,2024-07-26,38,28500,B-SUV,Blue,Normal,28500,28500
VIN0028501,2024-07-26,39,28501,C-EV,Blue,Normal,28501,28501
VIN0028502,2024-07-26,40,28502,A-Sedan,Orange,Normal,28502,28502
VIN0028503,2024-07-26,41,28503,A-Sedan,Green,Normal,28503,28503
VIN0028504,2024-07-26,42,28504,A-Sedan,White,Normal,28504,28504
VIN0028505,2024-07-26,43,28505,C-EV,Black,Normal,28505,28505
VIN0028506,2024-07-26,44,28506,B-SUV,Green,Normal,28506,28506
VIN0028507,2024-07-26,45,28507,A-Sedan,White,Normal,28509,28509
VIN0028508,2024-07-26,46,28508,A-Sedan,White,Normal,28507,28507
VIN0028509,2024-07-26,47,28509,C-EV,Grey,Normal,28508,28508
VIN0028510,2024-07-26,48,28510,B-SUV,Silver,Normal,28510,28510
VIN0028511,2024-07-26,49,28511,B-SUV,White,Normal,28511,28511
VIN0028512,2024-07-26,50,28512,A-Sedan,White,Normal,28512,28512
VIN0028513,2024-07-26,51,28513,B-SUV,Orange,Normal,28513,28513
VIN0028514,2024-07-26,52,28514,C-EV,Blue,Normal,28514,28514
VIN0028515,2024-07-26,53,28515,B-SUV,Black,Normal,28515,28515
VIN0028516,2024-07-26,54,28516,A-Sedan,Red,Normal,28516,28516
VIN0028517,2024-07-26,55,28517,A-Sedan,White,Expedite,28517,28517
VIN0028518,2024-07-26,56,28518,A-Sedan,Black,Normal,28518,28518
VIN0028519,2024-07-26,57,28519,B-SUV,Silver,Expedite,28521,28521
VIN0028520,2024-07-26,58,28520,B-SUV,Grey,Normal,28519,28519
VIN0028521,2024-07-26,59,28521,A-Sedan,Blue,Normal,28520,28520
VIN0028522,2024-07-26,60,28522,C-EV,Blue,Normal,28522,28522
VIN0028523,2024-07-26,61,28523,C-EV,Black,Normal,28523,28523
VIN0028524,2024-07-26,62,28524,B-SUV,Red,Normal,28524,28524
VIN0028525,2024-07-26,63,28525,C-EV,Black,Normal,28525,28525
VIN0028526,2024-07-26,64,28526,A-Sedan,Silver,Normal,28526,28526
VIN0028527,2024-07-26,65,28527,C-EV,Red,Normal,28527,28527
VIN0028528,2024-07-26,66,28528,B-SUV,Silver,Normal,28528,28528
VIN0028529,2024-07-26,67,28529,A-Sedan,Grey,Normal,28535,28535
VIN0028530,2024-07-26,68,28530,B-SUV,Silver,Normal,28529,28529
VIN0028531,2024-07-26,69,28531,A-Sedan,Silver,Normal,28530,28530
VIN0028532,2024-07-26,70,28532,A-Sedan,Red,Normal,28531,28531
VIN0028533,2024-07-26,71,28533,B-SUV,White,Normal,28532,28532
VIN0028534,2024-07-26,72,28534,A-Sedan,Blue,Normal,28533,28533
VIN0028535,2024-07-26,73,28535,A-Sedan,Green,Normal,28534,28534
VIN0028536,2024-07-26,74,28536,A-Sedan,White,Normal,28536,28536
VIN0028537,2024-07-26,75,28537,A-Sedan,Silver,Normal,28537,28537
VIN0028538,2024-07-26,76,28538,B-SUV,White,Normal,28538,28538
VIN0028539,2024-07-26,77,28539,A-Sedan,Red,Normal,28539,28539
VIN0028540,2024-07-26,78,28540,B-SUV,Orange,Normal,28540,28540
VIN0028541,2024-07-26,79,28541,A-Sedan,Grey,Hold,28541,28541
VIN0028542,2024-07-26,80,28542,A-Sedan,Silver,Normal,28542,28542
VIN0028543,2024-07-26,81,28543,A-Sedan,White,Normal,28543,28543
VIN0028544,2024-07-26,82,28544,B-SUV,Blue,Normal,28544,28544
VIN0028545,2024-07-26,83,28545,A-Sedan,Black,Normal,28545,28545
VIN0028546,2024-07-26,84,28546,A-Sedan,Orange,Normal,28546,28546
VIN0028547,2024-07-26,85,28547,A-Sedan,Silver,Normal,28547,28547
VIN0028548,2024-07-26,86,28548,B-SUV,Green,Hold,28548,28548
VIN0028549,2024-07-26,87,28549,C-EV,Red,Normal,28549,28549
VIN0028550,2024-07-26,88,28550,A-Sedan,Grey,Normal,28550,28550
VIN0028551,2024-07-26,89,28551,A-Sedan,Black,Normal,28551,28551
VIN0028552,2024-07-26,90,28552,C-EV,Black,Normal,28552,28552
VIN0028553,2024-07-26,91,28553,C-EV,Grey,Normal,28553,28553
VIN0028554,2024-07-26,92,28554,B-SUV,Blue,Expedite,28554,28554
VIN0028555,2024-07-26,93,28555,C-EV,White,Normal,28555,28555
VIN0028556,2024-07-26,94,28556,B-SUV,Grey,Normal,28556,28556
VIN0028557,2024-07-26,95,28557,A-Sedan,White,Normal,28557,28557
VIN0028558,2024-07-26,96,28558,B-SUV,Black,Normal,28558,28558
VIN0028559,2024-07-26,97,28559,A-Sedan,White,Normal,28559,28559
VIN0028560,2024-07-26,98,28560,A-Sedan,Silver,Normal,28560,28560
VIN0028561,2024-07-26,99,28561,B-SUV,White,Normal,28561,28561
VIN0028562,2024-07-26,100,28562,A-Sedan,Orange,Normal,28570,28570
VIN0028563,2024-07-26,101,28563,B-SUV,Red,Normal,28562,28562
VIN0028564,2024-07-26,102,28564,A-Sedan,Grey,Normal,28563,28563
VIN0028565,2024-07-26,103,28565,A-Sedan,Silver,Normal,28564,28564
VIN0028566,2024-07-26,104,28566,A-Sedan,Red,Normal,28565,28565
VIN0028567,2024-07-26,105,28567,A-Sedan,Silver,Normal,28566,28566
VIN0028568,2024-07-26,106,28568,B-SUV,Red,Normal,28568,28568
VIN0028569,2024-07-26,107,28569,B-SUV,Blue,Normal,28567,28567
VIN0028570,2024-07-26,108,28570,B-SUV,Red,Normal,28569,28569
VIN0028571,2024-07-26,109,28571,A-Sedan,Grey,Normal,28571,28571
VIN0028572,2024-07-26,110,28572,C-EV,Black,Normal,28572,28572
VIN0028573,2024-07-26,111,28573,C-EV,Red,Normal,28573,28573
VIN0028574,2024-07-26,112,28574,B-SUV,Orange,Normal,28574,28574
VIN0028575,2024-07-26,113,28575,A-Sedan,White,Normal,28575,28575
VIN0028576,2024-07-26,114,28576,B-SUV,Silver,Normal,28576,28576
VIN0028577,2024-07-26,115,28577,C-EV,Green,Normal,28577,28577
VIN0028578,2024-07-26,116,28578,C-EV,Black,Normal,28578,28578
VIN0028579,2024-07-26,117,28579,A-Sedan,Blue,Normal,28579,28579
VIN0028580,2024-07-26,118,28580,A-Sedan,Grey,Normal,28580,28580
VIN0028581,2024-07-26,119,28581,A-Sedan,White,Normal,28581,28581
VIN0028582,2024-07-26,120,28582,C-EV,Blue,Normal,28582,28582
VIN0028583,2024-07-26,121,28583,A-Sedan,Grey,Normal,28583,28583
VIN0028584,2024-07-26,122,28584,B-SUV,Black,Normal,28584,28584
VIN0028585,2024-07-26,123,28585,A-Sedan,White,Normal,28585,28585
VIN0028586,2024-07-26,124,28586,C-EV,White,Normal,28586,28586
VIN0028587,2024-07-26,125,28587,C-EV,White,Expedite,28587,28587
VIN0028588,2024-07-26,126,28588,A-Sedan,Red,Normal,28588,28588
VIN0028589,2024-07-26,127,28589,A-Sedan,Blue,Normal,28590,28590
VIN0028590,2024-07-26,128,28590,C-EV,Blue,Normal,28589,28589
VIN0028591,2024-07-26,129,28591,C-EV,Silver,Normal,28591,28591
VIN0028592,2024-07-26,130,28592,C-EV,Silver,Normal,28604,28604
VIN0028593,2024-07-26,131,28593,B-SUV,Grey,Normal,28592,28592
VIN0028594,2024-07-26,132,28594,A-Sedan,Blue,Normal,28593,28593
VIN0028595,2024-07-26,133,28595,C-EV,Black,Normal,28594,28594
VIN0028596,2024-07-26,134,28596,C-EV,Red,Expedite,28595,28595
VIN0028597,2024-07-26,135,28597,B-SUV,Blue,Normal,28596,28596
VIN0028598,2024-07-26,136,28598,B-SUV,Red,Normal,28597,28597
VIN0028599,2024-07-26,137,28599,C-EV,Red,Normal,28598,28598
VIN0028600,2024-07-26,138,28600,A-Sedan,Red,Normal,28599,28599
VIN0028601,2024-07-26,139,28601,A-Sedan,White,Normal,28600,28600
VIN0028602,2024-07-26,140,28602,A-Sedan,White,Normal,28601,28601
VIN0028603,2024-07-26,141,28603,A-Sedan,Green,Normal,28602,28602
VIN0028604,2024-07-26,142,28604,B-SUV,White,Normal,28603,28603
VIN0028605,2024-07-26,143,28605,B-SUV,Blue,Normal,28613,28613
VIN0028606,2024-07-26,144,28606,B-SUV,Black,Normal,28605,28605
VIN0028607,2024-07-26,145,28607,A-Sedan,White,Normal,28606,28606
VIN0028608,2024-07-26,146,28608,A-Sedan,Silver,Hold,28607,28607
VIN0028609,2024-07-26,147,28609,B-SUV,Grey,Normal,28608,28608
VIN0028610,2024-07-26,148,28610,A-Sedan,Silver,Normal,28609,28609
VIN0028611,2024-07-26,149,28611,B-SUV,White,Expedite,28610,28610
VIN0028612,2024-07-26,150,28612,B-SUV,Silver,Normal,28611,28611
VIN0028613,2024-07-26,151,28613,B-SUV,White,Hold,28612,28612
VIN0028614,2024-07-26,152,28614,C-EV,White,Normal,28619,28619
VIN0028615,2024-07-26,153,28615,A-Sedan,Silver,Normal,28614,28614
VIN0028616,2024-07-26,154,28616,B-SUV,Grey,Normal,28615,28615
VIN0028617,2024-07-26,155,28617,B-SUV,Black,Normal,28616,28616
VIN0028618,2024-07-26,156,28618,A-Sedan,White,Normal,28617,28617
VIN0028619,2024-07-26,157,28619,B-SUV,White,Normal,28618,28618
VIN0028620,2024-07-27,1,28620,B-SUV,Blue,Normal,28620,28620
VIN0028621,2024-07-27,2,28621,A-Sedan,Grey,Normal,28621,28621
VIN0028622,2024-07-27,3,28622,A-Sedan,White,Normal,28622,28622
VIN0028623,2024-07-27,4,28623,B-SUV,Blue,Normal,28623,28623
VIN0028624,2024-07-27,5,28624,C-EV,Black,Normal,28624,28624
VIN0028625,2024-07-27,6,28625,C-EV,Orange,Normal,28625,28625
VIN0028626,2024-07-27,7,28626,C-EV,Black,Normal,28626,28626
VIN0028627,2024-07-27,8,28627,A-Sedan,White,Normal,28627,28627
VIN0028628,2024-07-27,9,28628,B-SUV,White,Normal,28628,28628
VIN0028629,2024-07-27,10,28629,C-EV,Silver,Normal,28629,28629
VIN0028630,2024-07-27,11,28630,A-Sedan,Red,Normal,28631,28631
VIN0028631,2024-07-27,12,28631,A-Sedan,Grey,Normal,28630,28630
VIN0028632,2024-07-27,13,28632,B-SUV,Grey,Normal,28632,28632
VIN0028633,2024-07-27,14,28633,C-EV,White,Normal,28633,28633
VIN0028634,2024-07-27,15,28634,A-Sedan,Black,Normal,28636,28636
VIN0028635,2024-07-27,16,28635,B-SUV,Silver,Normal,28634,28634
VIN0028636,2024-07-27,17,28636,B-SUV,Black,Normal,28638,28638
VIN0028637,2024-07-27,18,28637,A-Sedan,Red,Normal,28635,28635
VIN0028638,2024-07-27,19,28638,B-SUV,White,Normal,28637,28637
VIN0028639,2024-07-27,20,28639,B-SUV,Red,Normal,28639,28639
VIN0028640,2024-07-27,21,28640,A-Sedan,Grey,Normal,28658,28658
VIN0028641,2024-07-27,22,28641,B-SUV,Grey,Normal,28640,28640
VIN0028642,2024-07-27,23,28642,A-Sedan,White,Normal,28641,28641
VIN0028643,2024-07-27,24,28643,B-SUV,White,Normal,28642,28642
VIN0028644,2024-07-27,25,28644,A-Sedan,Orange,Normal,28643,28643
VIN0028645,2024-07-27,26,28645,C-EV,White,Normal,28644,28644
VIN0028646,2024-07-27,27,28646,C-EV,Grey,Normal,28645,28645
VIN0028647,2024-07-27,28,28647,B-SUV,White,Normal,28646,28646
VIN0028648,2024-07-27,29,28648,A-Sedan,Silver,Normal,28647,28647
VIN0028649,2024-07-27,30,28649,B-SUV,Silver,Normal,28648,28648
VIN0028650,2024-07-27,31,28650,A-Sedan,Blue,Normal,28649,28649
VIN0028651,2024-07-27,32,28651,C-EV,Blue,Normal,28650,28650
VIN0028652,2024-07-27,33,28652,C-EV,Black,Normal,28651,28651
VIN0028653,2024-07-27,34,28653,B-SUV,Red,Normal,28652,28652
VIN0028654,2024-07-27,35,28654,A-Sedan,White,Normal,28653,28653
VIN0028655,2024-07-27,36,28655,A-Sedan,Grey,Normal,28654,28654
VIN0028656,2024-07-27,37,28656,C-EV,White,Normal,28655,28655
VIN0028657,2024-07-27,38,28657,A-Sedan,White,Normal,28656,28656
VIN0028658,2024-07-27,39,28658,B-SUV,White,Normal,28657,28657
VIN0028659,2024-07-27,40,28659,B-SUV,Grey,Normal,28659,28659
VIN0028660,2024-07-27,41,28660,B-SUV,Black,Expedite,28660,28660
VIN0028661,2024-07-27,42,28661,C-EV,White,Normal,28661,28661
VIN0028662,2024-07-27,43,28662,B-SUV,White,Normal,28664,28664
VIN0028663,2024-07-27,44,28663,B-SUV,Black,Normal,28662,28662
VIN0028664,2024-07-27,45,28664,B-SUV,Silver,Normal,28663,28663
VIN0028665,2024-07-27,46,28665,A-Sedan,White,Normal,28665,28665
VIN0028666,2024-07-27,47,28666,B-SUV,White,Normal,28666,28666
VIN0028667,2024-07-27,48,28667,A-Sedan,Red,Normal,28667,28667
VIN0028668,2024-07-27,49,28668,B-SUV,Green,Normal,28668,28668
VIN0028669,2024-07-27,50,28669,B-SUV,Red,Normal,28669,28669
VIN0028670,2024-07-27,51,28670,A-Sedan,Green,Normal,28670,28670
VIN0028671,2024-07-27,52,28671,B-SUV,White,Normal,28671,28671
VIN0028672,2024-07-27,53,28672,A-Sedan,Black,Normal,28672,28672
VIN0028673,2024-07-27,54,28673,A-Sedan,Black,Normal,28674,28674
VIN0028674,2024-07-27,55,28674,B-SUV,Silver,Normal,28673,28673
VIN0028675,2024-07-27,56,28675,B-SUV,Silver,Normal,28682,28682
VIN0028676,2024-07-27,57,28676,A-Sedan,Black,Normal,28675,28675
VIN0028677,2024-07-27,58,28677,A-Sedan,Red,Normal,28676,28676
VIN0028678,2024-07-27,59,28678,A-Sedan,Black,Normal,28677,28677
VIN0028679,2024-07-27,60,28679,B-SUV,White,Normal,28678,28678
VIN0028680,2024-07-27,61,28680,B-SUV,Silver,Normal,28679,28679
VIN0028681,2024-07-27,62,28681,A-Sedan,Orange,Normal,28680,28680
VIN0028682,2024-07-27,63,28682,C-EV,Red,Normal,28681,28681
VIN0028683,2024-07-27,64,28683,A-Sedan,Orange,Normal,28683,28683
VIN0028684,2024-07-27,65,28684,A-Sedan,Blue,Normal,28684,28684
VIN0028685,2024-07-27,66,28685,B-SUV,White,Normal,28685,28685
VIN0028686,2024-07-27,67,28686,C-EV,Black,Expedite,28687,28687
VIN0028687,2024-07-27,68,28687,B-SUV,Orange,Normal,28686,28686
VIN0028688,2024-07-27,69,28688,B-SUV,Black,Normal,28688,28688
VIN0028689,2024-07-27,70,28689,A-Sedan,Green,Normal,28689,28689
VIN0028690,2024-07-27,71,28690,B-SUV,Red,Normal,28690,28690
VIN0028691,2024-07-27,72,28691,B-SUV,Orange,Normal,28691,28691
VIN0028692,2024-07-27,73,28692,A-Sedan,Black,Normal,28692,28692
VIN0028693,2024-07-27,74,28693,A-Sedan,White,Normal,28693,28693
VIN0028694,2024-07-27,75,28694,A-Sedan,Silver,Normal,28694,28694
VIN0028695,2024-07-27,76,28695,B-SUV,Blue,Normal,28697,28697
VIN0028696,2024-07-27,77,28696,A-Sedan,White,Normal,28695,28695
VIN0028697,2024-07-27,78,28697,C-EV,White,Normal,28696,28696
VIN0028698,2024-07-27,79,28698,A-Sedan,White,Normal,28698,28698
VIN0028699,2024-07-27,80,28699,B-SUV,White,Normal,28699,28699
VIN0028700,2024-07-27,81,28700,A-Sedan,Grey,Normal,28700,28700
VIN0028701,2024-07-27,82,28701,A-Sedan,Blue,Normal,28701,28701
VIN0028702,2024-07-27,83,28702,A-Sedan,Green,Expedite,28702,28702
VIN0028703,2024-07-27,84,28703,A-Sedan,Silver,Normal,28703,28703
VIN0028704,2024-07-27,85,28704,B-SUV,White,Normal,28704,28704
VIN0028705,2024-07-27,86,28705,A-Sedan,Silver,Normal,28705,28705
VIN0028706,2024-07-27,87,28706,A-Sedan,Black,Normal,28706,28706
VIN0028707,2024-07-27,88,28707,A-Sedan,Black,Normal,28707,28707
VIN0028708,2024-07-27,89,28708,A-Sedan,Black,Normal,28708,28708
VIN0028709,2024-07-27,90,28709,B-SUV,Black,Normal,28709,28709
VIN0028710,2024-07-27,91,28710,A-Sedan,White,Normal,28710,28710
VIN0028711,2024-07-27,92,28711,B-SUV,White,Expedite,28711,28711
VIN0028712,2024-07-27,93,28712,B-SUV,Silver,Normal,28723,28723
VIN0028713,2024-07-27,94,28713,A-Sedan,Silver,Normal,28712,28712
VIN0028714,2024-07-27,95,28714,A-Sedan,Orange,Normal,28713,28713
VIN0028715,2024-07-27,96,28715,B-SUV,Black,Normal,28714,28714
VIN0028716,2024-07-27,97,28716,A-Sedan,White,Normal,28715,28715
VIN0028717,2024-07-27,98,28717,C-EV,Black,Normal,28716,28716
VIN0028718,2024-07-27,99,28718,B-SUV,Red,Normal,28717,28717
VIN0028719,2024-07-27,100,28719,B-SUV,Orange,Normal,28718,28718
VIN0028720,2024-07-27,101,28720,B-SUV,Blue,Normal,28719,28719
VIN0028721,2024-07-27,102,28721,A-Sedan,Silver,Normal,28720,28720
VIN0028722,2024-07-27,103,28722,A-Sedan,White,Normal,28721,28721
VIN0028723,2024-07-27,104,28723,B-SUV,White,Normal,28727,28727
VIN0028724,2024-07-27,105,28724,C-EV,White,Normal,28722,28722
VIN0028725,2024-07-27,106,28725,A-Sedan,Silver,Normal,28724,28724
VIN0028726,2024-07-27,107,28726,A-Sedan,Grey,Normal,28725,28725
VIN0028727,2024-07-27,108,28727,A-Sedan,Blue,Normal,28726,28726
VIN0028728,2024-07-27,109,28728,A-Sedan,Green,Normal,28728,28728
VIN0028729,2024-07-27,110,28729,A-Sedan,Blue,Normal,28729,28729
VIN0028730,2024-07-27,111,28730,A-Sedan,White,Normal,28730,28730
VIN0028731,2024-07-29,1,28731,A-Sedan,Silver,Normal,28731,28731
VIN0028732,2024-07-29,2,28732,C-EV,Black,Normal,28732,28732
VIN0028733,2024-07-29,3,28733,A-Sedan,Red,Normal,28733,28733
VIN0028734,2024-07-29,4,28734,A-Sedan,Blue,Normal,28734,28734
VIN0028735,2024-07-29,5,28735,A-Sedan,Silver,Normal,28735,28735
VIN0028736,2024-07-29,6,28736,C-EV,White,Normal,28736,28736
VIN0028737,2024-07-29,7,28737,B-SUV,Blue,Normal,28737,28737
VIN0028738,2024-07-29,8,28738,B-SUV,White,Normal,28738,28738
VIN0028739,2024-07-29,9,28739,A-Sedan,White,Normal,28739,28739
VIN0028740,2024-07-29,10,28740,A-Sedan,Red,Normal,28740,28740
VIN0028741,2024-07-29,11,28741,A-Sedan,White,Normal,28741,28741
VIN0028742,2024-07-29,12,28742,C-EV,White,Expedite,28742,28742
VIN0028743,2024-07-29,13,28743,A-Sedan,White,Normal,28743,28743
VIN0028744,2024-07-29,14,28744,B-SUV,Red,Normal,28744,28744
VIN0028745,2024-07-29,15,28745,C-EV,Red,Normal,28745,28745
VIN0028746,2024-07-29,16,28746,C-EV,Blue,Normal,28746,28746
VIN0028747,2024-07-29,17,28747,A-Sedan,White,Expedite,28747,28747
VIN0028748,2024-07-29,18,28748,A-Sedan,Blue,Normal,28748,28748
VIN0028749,2024-07-29,19,28749,B-SUV,Black,Normal,28749,28749
VIN0028750,2024-07-29,20,28750,A-Sedan,Black,Normal,28750,28750
VIN0028751,2024-07-29,21,28751,A-Sedan,White,Normal,28751,28751
VIN0028752,2024-07-29,22,28752,A-Sedan,Blue,Normal,28752,28752
VIN0028753,2024-07-29,23,28753,A-Sedan,Orange,Normal,28759,28759
VIN0028754,2024-07-29,24,28754,A-Sedan,Silver,Normal,28753,28753
VIN0028755,2024-07-29,25,28755,A-Sedan,Silver,Normal,28754,28754
VIN0028756,2024-07-29,26,28756,A-Sedan,Red,Normal,28755,28755
VIN0028757,2024-07-29,27,28757,B-SUV,Black,Normal,28756,28756
VIN0028758,2024-07-29,28,28758,A-Sedan,Red,Normal,28757,28757
VIN0028759,2024-07-29,29,28759,A-Sedan,Red,Normal,28758,28758
VIN0028760,2024-07-29,30,28760,A-Sedan,Orange,Normal,28760,28760
VIN0028761,2024-07-29,31,28761,C-EV,Silver,Normal,28762,28762
VIN0028762,2024-07-29,32,28762,B-SUV,White,Normal,28761,28761
